// Alarm Init,,,,
//,3,,,
// Name,ID,CD,Enabled,Text
Unloader - Missing Magazine 4,10418,,1,Unloader - 料匣4到位檢(X20)-異常。
Unloader - Obstacles above the track(X22),10419,,1,Unloader - Boat盤晶片平整檢1(X22)-異常。
Unloader - Obstacles above the track(X23),10420,,1,Unloader - Boat盤晶片平整檢2(X23)-異常。
Unloader - Magazine 1 Missing Boat,10421,,1,Unloader - 料匣1-Boat盤在籍檢(X27)-異常。
Unloader - Magazine 2 Missing Boat,10422,,1,Unloader - 料匣2-Boat盤在籍檢((X28)-異常。
Unloader - Magazine 3 Missing Boat,10423,,1,Unloader - 料匣3-Boat盤在籍檢((X29)-異常。
Unloader - Magazine 4 Missing Boat,10424,,1,Unloader - 料匣4-Boat盤在籍檢((X30)-異常。
Unloader - Magazine Barcode Error,10425,,1,Unloader - 料匣-BarCode-異常。
Unloader - Boat Barcode Error,10426,,1,Unloader - Boat-BarCode-異常。
Unloader - Sensor X12 is on. (please remove obstacle),10427,,1,Unloader - Boat盤位置檢1(X12)-異常。（上方不該有東西）
Unloader - Sensor X13 is on. (please remove obstacle),10428,,1,Unloader - Boat盤位置檢2(X13)-異常。（上方不該有東西）
Unloader - Sensor X14 is on. (please remove obstacle),10429,,1,Unloader - Boat盤位置檢3(X14)-異常。（上方不該有東西）
Unloader - Boat Enter Error,10430,,1,Unloader - Boat入料異常。（Boat盤沒推進來）
Unloader - Illegal IP,10431,,1,Unloader - 非法IP
Unloader - IP conflict,10432,,1,Unloader - IP衝突
Unloader - Port error,10433,,1,Unloader - Port 錯誤
Unloader - Servere establishment failed,10434,,1,Unloader - Servere建立失敗
Unloader - Client connection failed,10435,,1,Unloader - Client連線失敗
Unloader - Pen Side Moter X Error ,10436,,1,Unloader - Y軸馬達異常
Unloader - Pen Side Moter Z Error ,10437,,1,Unloader - 乘載板Z軸馬達異常
Unloader - The in-out material inspection detects an object or the cylinder is not in place,10438,,1,Unloader - 入出料檢偵測到物體 或 汽缸未到位
Unloader - Unable to set motor parameters,10439,,1,Unloader - 無法設定馬達參數
Unloader - The number of MAG layers set abnormally,10440,,1,Unloader - MAG層數設定異常
Unloader - Find warping,10441,,1,Unloader - 發現翹料
AOI - Rail door inspection abnormal,10601,,1,AOI - 門檢異常
AOI - The emergency stop was pressed,10602,,1,AOI - 緊急停止被按下
AOI - Air Pressure Low(X02),10603,,1,AOI - 氣壓不足(X02)
AOI - Clip cylinder abnormal (X05),10604,,1,AOI - 夾板氣缸(A)動檢(X05)-異常
AOI - Clip cylinder abnormal (X06),10605,,1,AOI - 夾板氣缸(A)原點檢(X06)-異常
AOI - Clip cylinder abnormal (X07),10606,,1,AOI - 夾板氣缸(B)動檢(X07)-異常
AOI - Clip cylinder abnormal (X08),10607,,1,AOI - 夾板氣缸(B)原點檢(X08)-異常
AOI - Aside cylinder abnormal (X13),10608,,1,AOI - 靠邊氣缸動檢(X13)-異常
AOI - Aside cylinder abnormal (X14),10609,,1,AOI - 靠邊氣缸原點檢(X14)-異常
AOI - Boat fall down(X15),10610,,1,AOI - Boat盤入口下垂檢(X15)-異常
AOI - Boat fall down(X16),10611,,1,AOI - Boat盤出口下垂檢(X16)-異常
AOI - Obstacles above the track(X17),10612,,1,AOI - Boat盤晶片平整檢1(X17)-異常
AOI - Obstacles above the track(X18),10613,,1,AOI - Boat盤晶片平整檢2(X18)-異常
AOI - Track side CV motor error(X22),10614,,1,AOI - Boat盤皮帶馬達(X22)-異常
AOI - Door stop cylinder abnormal (X23),10615,,1,AOI - 門檔氣缸動檢-異常(X23)
AOI - Door stop cylinder abnormal (X24),10616,,1,AOI - 門檔氣缸原點檢-異常(x24)
AOI - NG counter arrive setting,10617,,1,AOI - NG數量達設定值
"AOI - Clamp A,B Initial retrack TimeOut",10701,,1,AOI - Clmap A 或 Clamp B 回原點逾時
AOI - Z Axis Move TimeOut,10702,,1,AOI - Z軸歸零時移動逾時
AOI - Z Axis Homing TimeOut,10703,,1,AOI - Z軸歸零逾時
AOI - Initial Stopper Rising TimeOut,10704,,1,AOI - 初始化Stopper頂昇逾時
AOI - X Axis Move 10mm TimeOut,10705,,1,AOI - X軸移動10mm逾時
AOI - Y Axis Move 10mm TimeOut,10706,,1,AOI - Y軸移動10mm逾時
AOI - X Axis Homing TimeOut,10707,,1,AOI - X軸歸零逾時
AOI - Y Axis Homing TimeOut,10708,,1,AOI - Y軸歸零逾時
AOI - Stopper Rising TimeOut,10801,,1,AOI - Stopper升起逾時
AOI - Load Product TimeOut,10802,,1,AOI - 產品在流道上入料逾時
AOI - Load Product Arrial Stopper TimeOut,10803,,1,AOI - 產品到位逾時
AOI - SidePusth stretch out TimeOut,10804,,1,AOI - 側推伸出失敗
AOI - Clamp A or Clamp B stretch out TimeOut,10805,,1,AOI - 入料時 Clmap A 或 Clamp B 頂升逾時
AOI - SidePush retract out TimeOut,10806,,1,AOI - 側推縮回逾時
AOI - Clamp A or Clamp B retrack out TimeOut,10807,,1,AOI - 入料時 Clmap A 或 Clamp B 下降逾時
AOI - Stopper retrack TimeOut,10808,,1,AOI - Stopper縮回逾時
AOI - Unload Product TimeOut,10809,,1,AOI - 出料逾時(產品未離開流道Sensor)
AOI - Stopper Rising TimeOut After Unload Product,10810,,1,AOI - 產品出料後 Stopper頂昇逾時
AOI - AOI Move to Start Pos. of the row TimeOut,10901,,1,AOI - AOI 移動至單列起跑點逾時
AOI - AOI Move to Row End Pos. of the row TimeOut,10902,,1,AOI - AOI 移動至單列結束點逾時
