//CEID,Name,Remark,SystemID
198,CMS_NotAccessedToInAccess,(E87-CarrierEvent) The Carrier transits from NOT ACCESSED state to IN ACCESS state(Send by AP),198
199,CMS_InAccessToCarrierComplete,(E87-CarrierEvent) The Carrier transits from IN ACCESS state to CARRIER COMPLETE state(Send by AP),199
200,CMS_InAccessToCarrierStopped,(E87-CarrierEvent) The Carrier transits from IN ACCESS state to CARRIER STOPPED state(Send by AP),200
201,CMS_CarrierToNoState,(E87-CarrierEvent) The Carrier transits from CARRIER state to not state(Send by AP)\Delete Carrier Object,201
211,CMS_AccessMode_NoStateToManual,(E87-AccessModeEvent) The Access Mode transits from not state to MANUAL(Send by AP),211
212,CMS_AccessMode_NoStateToAuto,(E87-AccessModeEvent) The Access Mode transits from not state to AUTO(Send by AP),212
213,CMS_AccessMode_ManualToAuto,(E87-AccessModeEvent) The Access Mode transits from MANUAL to AUTO(Send by AP),213
214,CMS_AccessMode_AutoToManual,(E87-AccessModeEvent) The Access Mode transits from AUTO to MANUAL(Send by AP),214
221,CMS_NoStateToOutOfService,(E87-LoadPortEvent) The Load Port transits from not state to OUT OF SERVICE(Send by AP),221
222,CMS_NoStateToInService,(E87-LoadPortEvent) The Load Port transits from not state to In SERVICE(Send by AP),222
223,CMS_OutOfServiceToInService,(E87-LoadPortEvent) The Load Port transits from OUT OF SERVICE to In SERVICE(Send by AP),223
224,CMS_InServiceToOutOfService,(E87-LoadPortEvent) The Load Port transits from In SERVICE to OUT OF SERVICE(Send by AP),224
225,CMS_InServiceToTransferReady,(E87-LoadPortEvent) The Load Port transits from In SERVICE to TRANSFER READY(Send by AP),225
226,CMS_InServiceToTransferBlocked,(E87-LoadPortEvent) The Load Port transits from In SERVICE to TRANSFER BLOCKED(Send by AP),226
227,CMS_TransferReadyToReadyToLoad,(E87-LoadPortEvent) The Load Port transits from TRANSFER READY to READY TO LOAD(Send by AP),227
228,CMS_TransferReadyToReadyToUnload,(E87-LoadPortEvent) The Load Port transits from TRANSFER READY to READY TO UNLOAD(Send by AP),228
229,CMS_ReadyToLoadToTransferBlocked,(E87-LoadPortEvent) The Load Port transits from READY TO LOAD to TRANSFER BLOCKED(Send by AP),229
