// Alarm Init,,,,
//,3,,,
// Name,ID,CD,Enabled,Text
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot1),40131,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot1)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot2),40132,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot2)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot3),40133,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot3)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot4),40134,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot4)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot5),40135,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot5)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot6),40136,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot6)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot7),40137,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot7)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot8),40138,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot8)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot9),40139,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot9)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot10),40140,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot10)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot11),40141,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot11)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot12),40142,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot12)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot13),40143,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot13)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot14),40144,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot14)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot15),40145,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot15)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot16),40146,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot16)
EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot17),40147,,1,EFEM-Robot_WaferGetError(UpperArm-Aligner1-Slot17)
